repository,pr_number,mode,used_indexed_knowledge,indexing_s,review_s,total_s,llm_prompt_tokens,llm_completion_tokens,embedding_index_tokens,embedding_review_tokens,total_tokens,generated_comments,reference_comments,exact_match_rate,bleu4_mean,rougeL_f1_mean,meteor_mean,semantic_sim_mean,bertscore_f1_mean,gen_file_in_diff_rate,gen_line_in_hunk_rate
home-assistant/core,170658,rag,64,0.0,33.97,33.97,17313,2489,0,468,20270,4,5,0.0,0.0363,0.1295,0.2684,0.4584,,1.0,1.0
home-assistant/core,170658,no_rag,0,0.0,15.8,15.8,13965,3006,0,0,16971,3,5,0.0,0.0327,0.1094,0.1981,0.4206,,1.0,1.0
home-assistant/core,171862,rag,232,0.0,25.22,25.22,32423,5004,0,2328,39755,3,3,0.0,0.0625,0.2339,0.2918,0.4557,,1.0,1.0
home-assistant/core,171862,no_rag,0,0.0,36.48,36.48,27501,5449,0,0,32950,8,3,0.0,0.0398,0.1646,0.2578,0.3078,,1.0,1.0
home-assistant/core,172010,rag,88,0.0,23.41,23.41,22710,3817,0,956,27483,8,1,0.0,0.043,0.1379,0.2108,0.3041,,0.625,0.625
home-assistant/core,172010,no_rag,0,0.0,12.22,12.22,18542,2366,0,0,20908,3,1,0.0,0.0355,0.1258,0.2839,0.3529,,1.0,1.0
home-assistant/core,172045,rag,8,0.0,9.52,9.52,2091,17,0,32,2140,0,2,,,,,,,,
home-assistant/core,172045,no_rag,0,0.0,3.63,3.63,1804,17,0,0,1821,0,2,,,,,,,,
getsentry/sentry,115904,rag,26,0.0,30.62,30.62,16738,2834,0,364,19936,20,13,0.0,0.0018,0.0619,0.0552,0.4025,,1.0,0.9
getsentry/sentry,115904,no_rag,0,0.0,27.06,27.06,15020,3129,0,0,18149,19,13,0.0,0.0135,0.0871,0.0871,0.4993,,1.0,0.8947
getsentry/sentry,115914,rag,56,0.0,29.13,29.13,19034,3344,0,716,23094,6,8,0.0,0.0129,0.0801,0.1094,0.4162,,1.0,1.0
getsentry/sentry,115914,no_rag,0,0.0,20.19,20.19,16584,2772,0,0,19356,4,8,0.0,0.0187,0.0945,0.1341,0.4717,,1.0,1.0
getsentry/sentry,115932,rag,16,0.0,23.08,23.08,5272,890,0,232,6394,2,6,0.0,0.0,0.052,0.0527,0.437,,1.0,1.0
getsentry/sentry,115932,no_rag,0,0.0,13.63,13.63,4568,782,0,0,5350,1,6,0.0,0.0002,0.0585,0.0625,0.4798,,1.0,1.0
microsoft/vscode,317725,rag,64,0.0,25.22,25.22,20541,4039,0,1158,25738,5,2,0.0,0.0363,0.1929,0.2666,0.4577,,1.0,1.0
microsoft/vscode,317725,no_rag,0,0.0,16.95,16.95,16511,3243,0,0,19754,3,2,0.0,0.0219,0.2306,0.1939,0.5379,,1.0,1.0
microsoft/vscode,317859,rag,8,0.0,33.41,33.41,2860,980,0,388,4228,2,3,0.0,0.1633,0.2771,0.4385,0.703,,1.0,1.0
microsoft/vscode,317859,no_rag,0,0.0,23.92,23.92,2385,1142,0,0,3527,2,3,0.0,0.1719,0.3177,0.433,0.7914,,1.0,1.0
microsoft/vscode,318032,rag,16,0.0,15.89,15.89,5331,750,0,280,6361,1,2,0.0,0.0973,0.2614,0.4197,0.7586,,1.0,1.0
microsoft/vscode,318032,no_rag,0,0.0,15.08,15.08,4408,525,0,0,4933,1,2,0.0,0.1237,0.254,0.4853,0.7919,,1.0,1.0
